Asset,Method,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22,LogLik,Converged,AIC,BIC,T_obs,Market,Has_Exo,Pivot,Persist_S1,Persist_S2
GBPUSD=X,particle,3.934544949095386e-07,-3.9208390541585763e-07,0.1000003788265962,0.0999995932807723,0.1000001457109867,0.1000000553970867,0.7000000099536182,0.2000001369724344,0.2000000549193487,0.600000023412144,0.8999999308331736,0.9000000017225596,-2120.493763744183,True,4264.987527488366,4336.278804636299,2810,Forex,True,EURUSD=X,0.8000000653507049,0.8000000783314927
JPY=X,gray,-5.571717465644628e-05,0.0308971973718188,0.0024883827372387,-0.0809311418136944,0.0001,0.0001,0.0001,0.0875240486804041,0.2330282722913176,0.7669636663433614,0.419655082318095,0.7736169619611395,-66.55830576208734,False,157.1166115241747,228.4078886721082,2810,Forex,True,EURUSD=X,0.0002,0.9999919386346791
JPY=X,plugin,0.0001461549186023,0.0681947034328276,0.0023821737121724,-0.0378370134873048,0.0001,0.0001,0.0001,0.0357786754222615,0.3058033888268505,0.6941966012601972,0.4986329746934572,0.782022540435805,63.15153668819459,False,-102.30307337638918,-31.01179622845568,2810,Forex,True,EURUSD=X,0.0002,0.9999999900870478
JPY=X,quadrature,4.5340017032176975e-05,0.0095252441784449,0.0013650425877945,-0.1334776678430669,0.0001,0.0001,0.0001,0.0084892549445985,0.177428801452043,0.8222821748990438,0.4330913034718556,0.7419063825281996,-74.43218730002033,False,172.86437460004066,244.15565174797416,2810,Forex,True,EURUSD=X,0.0002,0.9997109763510867
JPY=X,particle,0.0,0.0,0.1,0.1,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9,-2116.353360209824,False,4256.706720419647,4327.997997567581,2810,Forex,True,EURUSD=X,0.7999999999999999,0.8
AUDUSD=X,gray,-0.0068162011598709,0.0002205493934443,-0.0928489330874667,-0.0011502399119575,0.119991675028634,0.0997461957763494,0.9,0.0001,0.0001,0.0001,0.7479493896159246,0.4419782058296704,-509.7564489242132,True,1043.5128978484263,1114.8041749963595,2810,Forex,True,EURUSD=X,0.9997461957763494,0.0002
AUDUSD=X,plugin,-0.0163168353483699,-2.3132968855488924e-05,-0.0525871144620726,-0.0006777949411053,0.0172565595761216,0.086874776919534,0.9,0.0001,0.0001,0.0001,0.7730821296479912,0.4711721541817117,-375.1000095948541,True,774.2000191897082,845.4912963376416,2810,Forex,True,EURUSD=X,0.9868747769195341,0.0002
AUDUSD=X,quadrature,-0.001517447803756,3.475673059774109e-05,-0.013472209908087,-0.0011777508110044,0.0226114006895369,0.1004231688561763,0.8987465189796008,0.0001,0.0001,0.0001,0.7532602648685717,0.4427493018382131,-532.9042184947083,True,1089.8084369894166,1161.09971413735,2810,Forex,True,EURUSD=X,0.9991696878357771,0.0002
AUDUSD=X,particle,1.6275476426588432e-08,-1.723316984438044e-08,0.1000000158143485,0.0999999822538952,0.0999999989473391,0.0999999996229195,0.6999999965212749,0.199999997224832,0.1999999988573066,0.5999999978840278,0.8999999995336919,0.8999999969880826,-2390.256632216433,True,4804.513264432866,4875.804541580799,2810,Forex,True,EURUSD=X,0.7999999961441944,0.7999999967413344
CHF=X,gray,-0.0038591364464957,7.078506040638757e-06,0.0171805214167267,0.000708312128574,0.0715404407045994,0.2024445680901226,0.7973519673221671,0.0001,0.0001,0.0001,0.755957381487744,0.4637897835670933,303.3928648775633,True,-582.7857297551266,-511.49445260719307,2810,Forex,True,EURUSD=X,0.9997965354122896,0.0002
CHF=X,plugin,0.0001800157791526,-0.0005171900564834,0.0003787586897098,-0.0163858605778178,0.0001,0.0001,0.0001,0.0243816533505926,0.1615259011344481,0.7881509880017865,0.4830679656371889,0.7654072913704315,372.3497652265209,True,-720.6995304530418,-649.4082533051082,2810,Forex,True,EURUSD=X,0.0002,0.9496768891362346
